Job Type,Category,Description,Add Description On Line Item,Estimated hour,Next Service Days,Next Service Odometer,Is COI Service,Is Rego Service,Tags
Minor Service,,,false,,180,,false,,""
Major Service,,,false,,180,,false,,""
Log book Service,,,false,,180,,false,,""
Road Worthy,,,false,,,,false,,""
Air Conditioning,,,false,,,,false,,""
Clutch & Transmission,,,false,,,,false,,""
Cooling Systems,,,false,,,,false,,""
Brake Systems,,,false,,,,false,,""
Suspension & Shock Absorbers,,,false,,,,false,,""
Exhaust Systems,,,false,,,,false,,""
Auto Electrical,,,false,,,,false,,""
New Tyres,,,false,,,,false,,""
Customer Order,,,false,,,,false,,""
Order Tyres,,,false,,,,false,,""
Repair,,,false,,,,false,,""
Mechanical,,,false,,,,false,,""
Remove old tyres,,,false,,,,false,,""
Wheel Alignment,,,false,,,,false,,""
Battery,,,false,,,,false,,""
Callout,,,false,,,,false,,""
Fit 2nd hand tyres,,,false,,,,false,,""
Supply Tube,,,false,,,,false,,""
belts,,,false,,,,false,,""
consuambles,,,false,,,,false,,""
Rotation,,,false,,,,false,,""
Parts,,,false,,,,false,,""
Freight,,,false,,,,false,,""
second hand tyres,,,false,,,,false,,""
rim,,,false,,,,false,,""
Fitting,,,false,,,,false,,""
Wheel Ballance,,,false,,,,false,,""
Strip & Fit Tyres,,,false,,,,false,,""
Windscreen,,,false,,,,false,,""
Oils,,,false,,,,false,,""
